house_type;house_zip_code;house_rooms;house_square_meters;house_year;house_taxes;house_energy;house_ground_area;house_price
Villa;4622;4;84;171;1421;E;727;1945000;
Villa;4180;5;125;201;1983;D;2114;1980000;
Villa;4900;7;195;104;2030;D;461;895000;
Villa;4913;6;170;158;2828;F;5273;895000;
Villa;9240;4;134;19;1984;B;1495;1995000;
Villa;6400;0;221;117;3381;D;473;1995000;
Villa;5750;5;125;164;1600;F;2410;995000;
Villa;3230;4;126;46;2512;G;808;1995000;
Villa;7752;2;120;6;1488;A20;2375;1995000;
Villa;9970;3;107;62;2270;E;1651;995000;
Villa;4880;12;459;114;3303;D;3750;995000;
Villa;5580;4;110;49;1730;D;706;1495000;
Villa;6400;5;137;47;2871;D;740;1999000;
Villa;7441;7;212;48;1943;A10;869;2095000;
Villa;8920;7;310;161;1909;E;1800;1498000;
Rækkehus;2860;6;140;68;3516;D;569;4500000;
Villa;7400;4;119;42;1936;C;784;2095000;
Villa;8700;3;128;109;1463;E;454;995000;
Villa;9800;4;120;48;2097;C;967;1525000;
Rækkehus;9000;3;121;63;3394;D;285;4695000;
Villa;6650;4;102;58;1656;D;1150;995000;
Villa;8464;5;104;74;1758;C;664;2095000;
Villa;2630;5;154;56;3699;C;700;4695000;
Villa;4990;4;131;111;1636;C;794;1069000;
Villa;6230;4;120;71;1426;C;991;1075000;
Villa;4360;6;173;101;2145;D;760;2150000;
Villa;4171;7;217;109;2208;C;1140;2150000;
Villa;5270;5;192;3;2719;A15;743;4695000;
Villa;9900;3;111;94;1537;C;313;1075000;
Villa;7400;4;123;49;1365;C;700;1095000;
Villa;2770;4;106;49;3543;C;510;4695000;
Villa;4682;4;121;51;2145;B;765;2150000;
Villa;2750;4;124;36;3688;C;1087;4795000;
Villa;7362;5;130;32;1535;D;815;1145000;
Villa;6600;4;112;65;2051;D;812;1595000;
Rækkehus;8800;4;116;15;2018;B;401;2175000;
Villa;4873;7;174;74;2869;C;1290;3285000;
Villa;8990;8;324;126;3667;C;15000;7995000;
Villa;8270;7;142;144;3855;C;650;4798000;
Villa;6600;7;184;59;1724;D;865;1145000;
Villa;4573;8;221;68;1918;E;899;1595000;
Villa;4200;5;163;84;2346;C;826;2195000;
Villa;2680;4;158;58;3780;D;906;4945000;
Villa;7100;5;139;43;1802;C;730;1595000;
Villa;4622;5;153;50;3114;C;802;3645000;
Villa;7870;5;127;101;1115;D;782;375000;
Villa;8305;4;130;83;1204;F;1920;1148000;
Villa;4600;5;234;9;5788;A2;867;9795000;
Villa;3250;4;136;136;5154;D;427;4995000;
Villa;9560;3;91;159;992;G;1174;395000;
Rækkehus;2765;4;94;16;2429;B;114;3250000;
Villa;4800;3;80;174;1016;C;71;1150000;
Villa;5700;3;110;89;1995;E;842;1625000;
Villa;8240;5;185;55;8071;C;803;9998000;
Villa;4230;8;230;91;3464;E;2277;3695000;
Villa;9632;5;124;53;1425;D;1260;1195000;
Villa;6040;5;152;20;2578;B;1228;2195000;
Villa;3140;13;343;119;18252;D;2230;17900000;
Villa;2800;6;119;62;3376;D;726;3295000;
Villa;3520;5;134;7;3643;A10;339;5000000;
Villa;5960;5;127;124;1269;D;162;550000;
Villa;4600;3;146;82;2851;C;1430;3295000;
Villa;6580;7;268;141;3461;A10;2813;3795000;
Villa;2900;7;246;125;7958;F;640;22995000;
Rækkehus;3700;2;73;75;1426;D;130;1198000;
Villa;5600;5;175;26;1729;C;1529;2195000;
Rækkehus;3450;6;171;50;4051;C;173;4145000;
Villa;3360;4;102;59;2547;E;1073;1690000;
Villa;2960;3;181;6;16986;A10;1210;26500000;
Villa;9230;5;143;51;2399;D;764;2195000;
Villa;4000;11;411;108;9296;B;595;28000000;
Villa;4320;7;219;24;3609;C;916;4495000;
Villa;8641;3;120;147;1658;E;677;1245000;
Rækkehus;8700;5;144;53;1717;C;336;1695000;
Villa;8765;6;129;91;1053;D;604;575000;
Rækkehus;4390;5;127;42;2385;B;321;2495000;
Ejerlejlighed;3600;3;76;87;3268;E;887;1695000;
Ejerlejlighed;7000;2;67;66;1522;C;5801;795000;
Villa;4760;5;193;45;3223;C;824;2235000;
Ejerlejlighed;2500;3;74;90;3103;D;1920;5100000;
Villa;2765;3;95;59;3060;E;769;2495000;
Rækkehus;8230;4;93;74;2598;C;317;3298000;
Villa;9900;4;142;37;2017;C;839;1695000;
Rækkehus;2650;4;120;59;3871;C;340;4895000;
Villa;5250;6;194;66;2730;E;523;5195000;
Villa;9500;5;142;46;2056;D;766;1245000;
Rækkehus;4990;3;71;50;1315;F;527;595000;
Villa;9240;5;177;23;2720;C;893;2545000;
Ejerlejlighed;8700;3;71;38;2116;C;106790;1250000;
Villa;2670;5;184;41;3578;C;860;5350000;
Villa;4891;3;102;171;1160;G;730;635000;
Villa;5370;5;162;246;1894;E;941;895000;
Villa;2791;4;107;77;4146;F;885;4995000;
Villa;8500;5;131;42;1954;C;785;1250000;
Villa;6710;5;161;48;2061;D;730;2595000;
Villa;6400;5;191;144;2145;C;1064;1695000;
Villa;3320;5;140;48;2236;C;2179;3395000;
Villa;4690;5;149;52;2577;D;1009;2295000;
Villa;4540;7;165;70;2923;G;1475;2595000;
Villa;6240;4;141;57;1306;D;746;695000;
Rækkehus;8250;4;117;5;2862;A10;128;3398000;
Villa;8464;4;102;1;2783;A15;889;2650000;
Villa;2670;7;200;47;3887;C;829;5495000;
Villa;3060;5;141;4;4144;A10;92;4995000;
Villa;7000;5;204;60;1693;D;694;1700000;
Villa;8464;6;169;25;2529;D;742;3400000;
Villa;6200;6;155;148;1148;F;523;695000;
Villa;6630;5;166;113;1539;D;1118;950000;
Villa;2610;3;84;82;4269;F;650;4995000;
Villa;4700;4;95;61;2158;C;689;1750000;
Villa;6700;7;162;78;2482;A10;473;5500000;
Villa;7500;6;161;89;2435;C;766;2695000;
Villa;5300;5;150;208;2646;G;1855;1195000;
Rækkehus;2610;2;85;78;3467;F;404;3425000;
Villa;6830;7;241;110;418;D;2381;510000;
Villa;7100;5;151;52;2210;D;812;1295000;
Ejerlejlighed;2100;3;103;92;3893;D;5287;6500000;
Villa;7400;1;197;51;2493;D;910;2295000;
Villa;4040;3;85;62;3396;F;931;2695000;
Villa;8700;3;107;89;1259;C;138;1750000;
Rækkehus;3730;3;81;132;1245;C;180;695000;
Villa;7000;6;169;27;2510;C;847;2745000;
Villa;5560;4;102;68;1989;D;1201;1345000;
Villa;4000;7;170;50;4744;D;884;5595000;
Villa;5250;4;108;64;1787;F;1000;1370000;
Villa;8732;4;106;54;1757;C;937;1495000;
Villa;5240;5;133;57;2045;C;683;2295000;
Villa;2750;5;147;61;4267;D;865;5595000;
Villa;8700;7;258;96;2907;C;3777;3495000;
Rækkehus;2640;4;95;59;2597;C;251;2745000;
Villa;2900;4;149;86;6103;D;753;7995000;
Villa;8653;5;108;119;1608;G;1992;695000;
Villa;4800;4;121;74;1892;D;400;1795000;
Villa;7500;3;90;58;1660;D;788;1375000;
Villa;5854;6;173;47;1987;D;759;1795000;
Villa;2650;6;178;88;4768;C;656;5685000;
Villa;4622;5;134;41;3076;D;867;3495000;
Villa;8472;5;110;42;1862;E;853;1095000;
Villa;2500;4;150;53;6248;D;699;8995000;
Villa;8600;5;144;52;2706;C;893;2345000;
Villa;5620;6;162;41;2125;C;1030;1795000;
Villa;2630;4;87;87;3461;C;749;2795000;
Villa;3500;6;198;63;4777;C;1074;5695000;
Villa;2770;5;105;70;3401;F;777;3495000;
Villa;8920;5;124;45;1575;F;792;725000;
Villa;4534;6;198;40;2071;D;1772;1395000;
Villa;2300;6;173;87;5576;E;583;10495000;
Villa;5320;4;112;30;2207;C;600;2345000;
Villa;8600;6;202;2;3424;A15;1020;5725000;
Villa;4600;5;166;244;3295;D;971;3495000;
Villa;8462;5;157;57;2611;D;920;2800000;
Villalejlighed;2500;6;151;87;6447;G;1116;12995000;
Villa;9690;5;130;88;1644;D;15002;1445000;
Villa;4720;5;143;57;2767;C;1190;2295000;
Villa;3210;4;181;41;3014;G;968;2350000;
Villa;2770;4;160;57;4590;C;664;5795000;
Villa;9300;4;125;54;1877;D;1029;1798000;
Ejerlejlighed;2200;2;48;128;2136;D;714;3495000;
Villa;5610;7;165;160;1192;E;1000;1195000;
Villa;6520;5;130;54;1388;C;800;725000;
Villa;6200;4;166;55;1734;C;926;2375000;
Rækkehus;5000;5;142;121;1888;B;209;5798000;
Villa;4672;4;197;171;2646;F;2273;1295000;
Villa;4130;5;170;101;3419;D;1035;3495000;
Villa;6000;5;168;46;2486;C;758;2395000;
Villa;5900;7;180;111;1623;G;11200;1800000;
Villa;6818;7;160;59;1416;G;1001;750000;
Villa;5270;4;148;59;2015;B;711;2895000;
Rækkehus;5700;4;102;34;1524;C;200;1500000;
Villa;2770;5;144;78;3705;D;441;5995000;
Villa;3390;3;111;22;3449;E;1035;2395000;
Villa;8930;3;149;113;1343;E;425;775000;
Villa;7500;5;175;11;2787;B;836;3495000;
Villa;6720;7;209;129;2579;D;353;2898000;
Villa;4760;8;234;95;2367;C;1842;1845000;
Villa;6052;5;138;77;1990;D;840;1545000;
Villa;4171;2;55;119;1236;F;427;795000;
Villa;9280;5;167;14;2236;B;955;3498000;
Ejerlejlighed;2920;1;46;68;2067;D;2575;1550000;
Rækkehus;2670;5;120;49;2631;A10;200;2925000;
Rækkehus;2800;5;127;67;4382;D;261;5995000;
Villa;5700;6;144;104;3216;F;634;3500000;
Villa;4220;6;176;62;2371;C;905;1845000;
Villa;6400;5;147;19;2232;B;1063;2395000;
Villa;5700;3;91;38;1543;C;219;1695000;
Rækkehus;4622;4;113;42;2818;B;211;2945000;
Villa;9870;4;107;59;1536;D;1300;835000;
Villa;2670;5;175;44;3622;C;1008;3595000;
Rækkehus;2800;5;117;61;3786;C;181;5995000;
Villa;4070;5;171;35;2400;F;797;1875000;
Villa;3250;4;85;71;2772;F;952;1745000;
Villa;4700;6;178;206;1893;C;1720;2975000;
Villa;2765;4;87;54;3845;D;772;3595000;
Villa;3740;4;118;55;1649;E;698;2400000;
Villa;3300;2;63;67;2457;E;1024;1850000;
Villa;8860;4;99;84;1179;E;410;845000;
Villa;7500;4;122;91;2437;D;777;2995000;
Villa;3400;5;140;59;4072;F;811;3695000;
Rækkehus;3460;5;110;68;4468;C;377;6495000;
Villa;9270;5;185;45;2849;D;1100;2995000;
Villa;6600;6;228;54;2158;D;989;1895000;
Villa;6710;4;149;51;2236;E;667;2448000;
Villa;8362;5;165;23;2782;C;834;3698000;
Villa;8870;4;107;63;1993;D;945;875000;
Villa;7130;7;256;161;3171;F;3984;2995000;
Villa;5370;6;221;12;2422;B;1047;2095000;
Villa;7500;5;113;91;1742;D;619;1895000;
Villa;7500;6;203;45;2595;D;1037;2495000;
Villa;3630;3;89;77;1907;D;327;1895000;
Villa;4652;4;131;144;2553;C;2090;2995000;
Villa;2750;4;110;74;3088;E;413;3745000;
Villa;2750;5;166;51;5482;D;700;7195000;
Villa;4100;5;154;88;2665;C;700;2495000;
Villa;9690;6;191;49;1427;D;859;875000;
Villa;8700;5;141;16;2626;C;1083;2995000;
Villa;4593;8;342;121;3103;D;9020;2350000;
Villa;4700;4;130;146;2121;C;646;1895000;
Villa;3060;4;130;51;4008;D;686;3750000;
Villa;2765;6;248;0;4124;A20;877;7495000;
Villa;7080;5;188;101;2273;B;984;1925000;
Villa;2700;4;82;85;5672;D;392;7495000;
Villa;8654;4;100;79;1890;E;3729;895000;
Villa;7500;5;150;1;3340;A15;946;2995000;
Villa;3200;5;108;61;3299;D;1612;2650000;
Villa;2770;3;106;69;3698;F;623;3795000;
Villa;7100;3;140;96;2210;D;303;1945000;
Villa;9900;4;134;44;1264;C;1443;895000;
Villa;5270;4;251;74;1848;D;890;2995000;
Villa;6800;5;161;15;2603;C;769;2798000;
Villa;2791;5;169;61;4113;C;398;7995000;
Villa;7323;3;118;81;1450;C;1002;895000;
Villa;2700;5;156;87;6241;D;522;7995000;
Villa;3080;4;136;54;3460;E;712;2850000;
Villa;4180;10;201;111;2694;D;1289;3850000;
Villa;3230;5;130;119;2360;C;681;2995000;
Villa;8600;5;182;59;2960;C;1112;3095000;
Villa;2740;5;143;94;4231;F;713;3895000;
Villa;3390;5;179;15;3127;B;828;3095000;
Villa;2620;3;125;144;3460;D;433;3995000;
Villa;4300;4;149;49;3213;E;726;3995000;
Villa;8800;6;203;4;3482;A20;801;4000000;
Rækkehus;2680;4;127;54;3325;C;420;3095000;
Villa;9850;6;266;219;2419;E;33167;3250000;
Villa;8240;4;140;55;3573;D;769;4148000;
Villa;4600;5;154;114;2976;C;690;3375000;
Villa;3320;7;192;55;3577;D;925;3195000;
Villa;8210;5;150;25;3161;D;810;4250000;
Rækkehus;2670;3;114;-1;3653;A15;279;3795000;
Villa;9000;4;164;114;3523;C;654;4295000;
Villa;9600;6;193;17;2466;C;1161;3198000;
Villa;4780;7;292;221;2819;F;3250;3200000;
Villa;2680;5;137;49;3606;C;831;4350000;
Villa;3200;7;211;48;3914;B;890;4195000;
Villa;2670;5;182;57;4114;D;743;4350000;
Villa;2670;6;191;49;3643;C;956;5295000;
Villa;8930;7;270;20;3615;B;845;4395000;
Villa;7120;7;171;59;4983;C;800;6995000;
Villa;2860;5;153;121;4504;C;771;6995000;
Villa;8270;4;129;60;3953;D;662;4398000;
Villa;2500;5;104;103;4817;C;319;7700000;
Villa;4900;5;112;61;1016;G;792;295000;
Villa;6780;4;120;59;1213;E;916;400000;
Villa;6372;5;132;67;1201;G;1290;495000;
Villa;7790;3;117;84;1089;D;479;545000;
Villa;6622;5;131;69;1063;G;900;585000;
Villa;8586;5;163;46;1587;D;1273;650000;
Villa;7790;4;125;45;1344;D;736;745000;
Villa;4400;2;61;194;1549;D;717;750000;
Villa;7500;7;186;37;2375;C;873;2245000;
Villa;8500;4;110;81;1312;D;732;775000;
Villa;3390;6;138;41;2731;E;800;2295000;
Villa;4450;5;132;75;1543;F;800;825000;
Villa;9370;3;100;58;1905;E;855;925000;
Villa;9280;4;168;105;2323;D;19000;2350000;
Rækkehus;9480;3;88;141;1531;C;577;1295000;
Villa;6840;4;108;65;1714;E;738;975000;
Villa;5550;5;192;48;3554;C;1943;2395000;
Rækkehus;6760;3;87;41;1375;C;231;1298000;
Villa;4230;6;203;241;2008;E;852;1345000;
Villa;4450;5;112;113;1930;E;805;975000;
Villa;6650;5;221;101;2215;F;7573;1350000;
Ejerlejlighed;4230;3;92;35;1096;D;408;1045000;
Villa;4180;5;129;136;1732;E;665;1045000;
Villa;4892;4;163;26;1910;D;775;1095000;
Villa;9300;3;122;72;1615;D;760;1398000;
Villa;6920;4;150;48;1509;E;864;1145000;
Villa;4550;5;148;16;2762;C;1001;2445000;
Villa;5330;4;114;141;1702;D;536;1425000;
Villa;5250;4;88;61;2102;D;704;2495000;
Villa;9300;3;97;60;1618;D;805;1148000;
Villa;9560;5;140;111;1441;C;253;1449000;
Villa;5463;4;137;49;1700;E;886;1195000;
Villa;8600;5;135;53;2656;C;954;2495000;
Villa;7800;4;109;51;1008;A;899;645000;
Villa;3500;6;190;5;5369;A10;913;8995000;
Villa;4220;3;108;181;1382;C;141;1475000;
Villa;5400;3;113;46;1298;C;2648;649000;
Villa;4930;3;104;121;1402;C;193;1199000;
Villa;6470;5;157;57;2234;E;805;1495000;
Villa;9760;3;93;69;1379;E;796;995000;
Villa;8700;4;105;60;1830;D;502;1495000;
Rækkehus;6670;4;101;41;1074;C;440;650000;
Villa;2840;5;171;62;6629;C;802;9195000;
Rækkehus;9210;4;138;51;2275;A10;155;2498000;
Villa;7000;4;160;43;1960;C;849;1200000;
Villalejlighed;5700;2;60;131;1497;D;476;995000;
Villa;2620;4;125;54;4750;D;712;3595000;
Villa;7182;4;166;74;2066;D;892;1495000;
Villa;7330;3;89;67;1456;D;762;1295000;
Villa;5854;4;119;84;1152;E;1068;695000;
Villa;2820;7;178;105;5433;D;366;14995000;
Villa;6310;5;187;122;2080;D;1316;1495000;
Villa;8660;3;163;101;2387;E;1470;2498000;
Villa;7570;4;124;49;1423;C;952;695000;
Villa;8620;3;124;49;1776;D;802;1295000;
Villa;7800;5;105;63;1758;C;569;1245000;
Villa;5370;4;118;91;1739;C;473;1495000;
Villa;9480;5;144;31;1891;C;764;995000;
Villa;7680;5;196;41;1469;C;702;1345000;
Villa;8653;3;119;91;1472;F;260;1495000;
Villa;8700;6;204;48;3031;B;1390;3598000;
Villa;4400;6;160;110;2507;C;1304;1495000;
Villa;6752;7;172;93;1455;D;4388;995000;
Villa;9550;2;84;110;909;C;566;725000;
Villa;5560;6;138;91;1705;D;1476;1250000;
